wkt_geom,DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,n_mines,avg_dist,close_dist
Point (26.80641800000006469 -17.23897399999992786),ZM201800000133,ZM,2018,133,ZM,9,Southern,9,Southern,GPS,R,-17.238974,26.806418,1228,1240,WGS84,1,578.4917972,43.97974245
Point (31.88042400000006182 -14.20361599999995406),ZM201800000134,ZM,2018,134,ZM,3,Eastern,3,Eastern,GPS,R,-14.203616,31.880424,1045,1055,WGS84,0,562.8551083,211.7763573
Point (26.19234300000005078 -17.31477699999993547),ZM201800000135,ZM,2018,135,ZM,9,Southern,9,Southern,GPS,U,-17.314777,26.192343,1233,1239,WGS84,0,612.8705777,84.64594247
Point (28.08270000000004529 -14.4829579999999396),ZM201800000136,ZM,2018,136,ZM,1,Central,1,Central,GPS,R,-14.482958,28.0827,1140,1146,WGS84,2,461.4302043,38.24662545
Point (28.25765600000005406 -15.43589099999996961),ZM201800000137,ZM,2018,137,ZM,5,Lusaka,5,Lusaka,GPS,U,-15.435891,28.257656,151,1280,WGS84,5,474.7202502,12.37670201
Point (26.95684100000005401 -16.82185199999997849),ZM201800000138,ZM,2018,138,ZM,9,Southern,9,Southern,GPS,U,-16.821852,26.956841,1326,1324,WGS84,0,555.3084647,56.77362078
Point (29.52181300000006559 -11.35070599999994556),ZM201800000139,ZM,2018,139,ZM,4,Luapula,4,Luapula,GPS,U,-11.350706,29.521813,1192,1201,WGS84,0,544.6831339,77.89101058
Point (22.88775800000007621 -16.78364899999996851),ZM201800000140,ZM,2018,140,ZM,10,Western,10,Western,GPS,R,-16.783649,22.887758,790,1011,WGS84,0,826.6519012,414.6561825
Point (28.47609400000004598 -15.36055299999998169),ZM201800000141,ZM,2018,141,ZM,5,Lusaka,5,Lusaka,GPS,R,-15.360553,28.476094,1149,1150,WGS84,3,470.9966532,30.19427648
Point (27.97578500000003032 -14.97523299999994606),ZM201800000142,ZM,2018,142,ZM,1,Central,1,Central,GPS,R,-14.975233,27.975785,1145,1143,WGS84,0,470.9969497,57.93665283
Point (28.34002200000003313 -13.10764499999993404),ZM201800000143,ZM,2018,143,ZM,2,Copperbelt,2,Copperbelt,GPS,U,-13.107645,28.340022,714,1242,WGS84,32,448.8205874,4.605919988
Point (31.8470550000000685 -10.17747699999995348),ZM201800000144,ZM,2018,144,ZM,7,Northern,7,Northern,GPS,R,-10.177477,31.847055,878,1234,WGS84,0,719.3863036,200.9337455
Point (26.4183460000000423 -12.18196099999994431),ZM201800000145,ZM,2018,145,ZM,8,North Western,8,North Western,GPS,U,-12.181961,26.418346,757,1343,WGS84,5,522.793287,9.886606734
